flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,avg_packet_size,max_packet_size,min_packet_size,duration,avg_interval,interval_variance,avg_ttl,syn_count,ack_count,fin_count,rst_count,psh_count,unique_ports,label,confidence,reason
122.188.187.52:443 <-> 172.27.152.109:62514 TCP,172.27.152.109,122.188.187.52,62514,443,TCP,271,276519,1020.365314,1488,40,51.02516,0.188982,7.573301,75.472325,2,270,0,0,22,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:52752 <-> 58.19.20.146:443 TCP,172.27.152.109,58.19.20.146,52752,443,TCP,39,22640,580.512821,1488,40,45.096882,1.18676,51.914158,80.0,2,38,0,0,13,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:56762 <-> 220.197.31.42:443 TCP,172.27.152.109,220.197.31.42,56762,443,TCP,48,25905,539.6875,1488,40,50.404392,1.072434,42.192333,83.583333,2,47,0,0,21,2,Web,0.88,HTTP/HTTPS port
119.96.6.117:443 <-> 172.27.152.109:54058 TCP,172.27.152.109,119.96.6.117,54058,443,TCP,21964,23026223,1048.362001,1488,40,55.270821,0.002517,0.092793,76.755236,2,21963,0,0,105,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:50269 <-> 58.19.48.35:443 TCP,172.27.152.109,58.19.48.35,50269,443,TCP,3767,3574999,949.030794,1452,40,56.259047,0.014939,0.541163,76.714362,2,3766,0,0,1219,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:61294 <-> 61.242.191.52:443 TCP,172.27.152.109,61.242.191.52,61294,443,TCP,95,61900,651.578947,1488,40,45.165662,0.480486,21.319433,90.863158,2,94,0,0,26,2,Web,0.88,HTTP/HTTPS port
111.206.209.249:443 <-> 172.27.152.109:54946 TCP,172.27.152.109,111.206.209.249,54946,443,TCP,42,24535,584.166667,1488,40,11.341478,0.276621,2.376017,75.571429,2,41,3,1,13,2,Web,0.88,HTTP/HTTPS port
122.188.187.52:443 <-> 172.27.152.109:55700 TCP,172.27.152.109,122.188.187.52,55700,443,TCP,58,50782,875.551724,1488,40,45.656147,0.800985,34.888437,77.655172,2,57,0,0,9,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:51042 <-> 220.197.32.187:443 TCP,172.27.152.109,220.197.32.187,51042,443,TCP,26,9921,381.576923,1488,40,42.223312,1.688932,61.384272,89.5,2,25,2,1,10,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:61233 <-> 220.197.31.42:443 TCP,172.27.152.109,220.197.31.42,61233,443,TCP,22,9049,411.318182,1488,40,45.204478,2.152594,91.797402,87.0,2,21,0,0,10,2,Web,0.88,HTTP/HTTPS port
122.205.111.48:443 <-> 172.27.152.109:52460 TCP,172.27.152.109,122.205.111.48,52460,443,TCP,26,10080,387.692308,1452,40,45.070408,1.802816,77.769791,84.115385,2,25,0,0,11,2,Web,0.88,HTTP/HTTPS port
153.3.238.28:443 <-> 172.27.152.109:55379 TCP,172.27.152.109,153.3.238.28,55379,443,TCP,28,10925,390.178571,1488,40,45.179963,1.673332,22.217781,83.785714,2,27,0,0,8,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:65137 <-> 220.197.32.187:443 TCP,172.27.152.109,220.197.32.187,65137,443,TCP,28,10792,385.428571,1488,40,41.913439,1.55235,57.074417,91.785714,2,27,3,1,11,2,Web,0.88,HTTP/HTTPS port
150.171.28.11:443 <-> 172.27.152.109:65252 TCP,172.27.152.109,150.171.28.11,65252,443,TCP,43,22653,526.813953,1488,40,46.977805,1.118519,47.012652,118.627907,2,42,0,0,14,2,Web,0.88,HTTP/HTTPS port
140.82.112.25:443 <-> 172.27.152.109:60666 TCP,172.27.152.109,140.82.112.25,60666,443,TCP,5,269,53.8,70,40,14.996589,3.749147,37.977099,75.8,0,5,0,0,2,2,Web,0.88,HTTP/HTTPS port
122.188.187.59:443 <-> 172.27.152.109:52007 TCP,172.27.152.109,122.188.187.59,52007,443,TCP,318,383615,1206.336478,1488,40,6.907527,0.02179,0.121648,67.166667,2,317,0,0,15,2,Web,0.88,HTTP/HTTPS port
122.188.187.53:443 <-> 172.27.152.109:54226 TCP,172.27.152.109,122.188.187.53,54226,443,TCP,705,729470,1034.70922,1488,40,7.022555,0.009975,0.018529,77.158865,2,704,0,0,17,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:60775 <-> 48.210.190.78:443 TCP,172.27.152.109,48.210.190.78,60775,443,TCP,4,186,46.5,52,41,45.280513,15.093504,447.346415,87.0,0,4,0,0,0,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:57842 <-> 216.239.38.223:443 TCP,172.27.152.109,216.239.38.223,57842,443,TCP,5,260,52.0,52,52,15.026875,3.756719,7.165319,128.0,5,0,0,0,0,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:56814 <-> 2.20.254.200:443 TCP,172.27.152.109,2.20.254.200,56814,443,TCP,19,3626,190.842105,1424,40,24.909942,1.383886,14.068491,91.526316,2,18,2,0,6,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:56815 <-> 216.239.38.223:443 TCP,172.27.152.109,216.239.38.223,56815,443,TCP,5,260,52.0,52,52,15.031079,3.75777,7.170885,128.0,5,0,0,0,0,2,Web,0.88,HTTP/HTTPS port
