flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,avg_packet_size,max_packet_size,min_packet_size,duration,avg_interval,interval_variance,avg_ttl,syn_count,ack_count,fin_count,rst_count,psh_count,unique_ports,label,confidence,reason
172.27.152.109:63629 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,63629,53,UDP,2,186,93.0,128,58,2.420839,2.420839,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56773 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56773,53,UDP,4,437,109.25,256,58,2.757996,0.919332,1.152518,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58804 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58804,53,UDP,2,177,88.5,119,58,2.423203,2.423203,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64571 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,64571,53,UDP,2,225,112.5,167,58,0.013404,0.013404,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62371 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,62371,53,UDP,2,237,118.5,168,69,4.829537,4.829537,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58007 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58007,53,UDP,2,269,134.5,200,69,0.013704,0.013704,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56186 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56186,53,UDP,10,1123,112.3,286,58,45.948294,5.105366,56.591207,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49879 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,49879,53,UDP,2,220,110.0,155,65,4.838716,4.838716,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:63542 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,63542,53,UDP,2,179,89.5,114,65,0.022333,0.022333,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49792 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,49792,53,UDP,2,225,112.5,155,70,4.849608,4.849608,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62553 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,62553,53,UDP,2,177,88.5,116,61,0.008745,0.008745,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49341 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,49341,53,UDP,2,437,218.5,376,61,0.008601,0.008601,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
