序号,总距离(km),城市数,路径
279,3103.00,4,北京->郑州->上海->成都
280,3108.00,4,北京->兰州->太原->成都
281,3111.00,4,北京->上海->贵阳->成都
282,3115.00,4,北京->南京->银川->成都
283,3119.00,4,北京->沈阳->合肥->成都
284,3120.00,4,北京->合肥->西宁->成都
285,3123.00,3,北京->广州->成都
286,3123.00,4,北京->武汉->广州->成都
287,3125.00,4,北京->南昌->南京->成都
288,3130.00,4,北京->济南->福州->成都
289,3130.00,3,北京->福州->成都
290,3130.00,4,北京->武汉->济南->成都
291,3131.00,4,北京->福州->长沙->成都
292,3132.00,4,北京->广州->重庆->成都
293,3132.00,4,北京->武汉->石家庄->成都
294,3134.00,4,北京->南京->福州->成都
295,3137.00,4,北京->长沙->广州->成都
296,3137.00,4,北京->福州->重庆->成都
297,3139.00,4,北京->合肥->福州->成都
298,3140.00,4,北京->合肥->昆明->成都
299,3141.00,4,北京->天津->福州->成都
300,3144.00,4,北京->济南->广州->成都
301,3148.00,4,北京->武汉->杭州->成都
302,3149.00,4,北京->郑州->广州->成都
303,3152.00,4,北京->南昌->广州->成都
304,3156.00,4,北京->贵阳->南宁->成都
305,3157.00,4,北京->天津->广州->成都
306,3161.00,4,北京->上海->济南->成都
307,3162.00,4,北京->西安->南宁->成都
308,3163.00,4,北京->福州->南昌->成都
309,3164.00,4,北京->太原->上海->成都
310,3165.00,4,北京->石家庄->广州->成都
311,3166.00,4,北京->杭州->福州->成都
312,3171.00,4,北京->长沙->兰州->成都
313,3172.00,4,北京->广州->贵阳->成都
314,3180.00,4,北京->合肥->广州->成都
315,3185.00,4,北京->长沙->合肥->成都
316,3191.00,4,北京->沈阳->南京->成都
317,3204.00,4,北京->重庆->南宁->成都
318,3206.00,4,北京->合肥->南宁->成都
319,3209.00,4,北京->重庆->武汉->成都
320,3215.00,4,北京->南昌->南宁->成都
321,3220.00,4,北京->贵阳->西安->成都
322,3226.00,4,北京->南京->天津->成都
323,3227.00,3,北京->长春->成都
324,3228.00,4,北京->长春->西安->成都
325,3228.00,4,北京->长春->石家庄->成都
326,3229.00,4,北京->银川->济南->成都
327,3231.00,4,北京->合肥->天津->成都
328,3231.00,4,北京->长春->天津->成都
329,3233.00,4,北京->长春->太原->成都
330,3237.00,4,北京->南昌->杭州->成都
331,3240.00,4,北京->福州->武汉->成都
332,3241.00,4,北京->南昌->昆明->成都
333,3244.00,4,北京->南昌->兰州->成都
334,3245.00,4,北京->石家庄->福州->成都
335,3246.00,4,北京->南京->西宁->成都
336,3247.00,4,北京->上海->福州->成都
337,3253.00,4,北京->长春->沈阳->成都
338,3262.00,4,北京->杭州->济南->成都
339,3264.00,4,北京->石家庄->沈阳->成都
340,3264.00,4,北京->南昌->福州->成都
341,3266.00,4,北京->南京->广州->成都
342,3266.00,4,北京->沈阳->西宁->成都
343,3269.00,4,北京->沈阳->长春->成都
344,3271.00,4,北京->西宁->昆明->成都
345,3280.00,4,北京->太原->广州->成都
346,3281.00,4,北京->长春->郑州->成都
347,3282.00,4,北京->上海->太原->成都
348,3282.00,4,北京->西安->南京->成都
349,3283.00,4,北京->南京->昆明->成都
350,3288.00,4,北京->贵阳->长沙->成都
351,3288.00,4,北京->济南->沈阳->成都
352,3290.00,4,北京->长春->济南->成都
353,3295.00,4,北京->郑州->福州->成都
354,3297.00,4,北京->南宁->昆明->成都
355,3313.00,4,北京->沈阳->长沙->成都
356,3313.00,4,北京->上海->石家庄->成都
357,3317.00,3,北京->澳门->成都
358,3318.00,4,北京->兰州->武汉->成都
359,3319.00,4,北京->武汉->澳门->成都
360,3320.00,4,北京->武汉->福州->成都
361,3321.00,4,北京->重庆->银川->成都
362,3322.00,4,北京->兰州->长沙->成都
363,3326.00,4,北京->南京->南宁->成都
364,3327.00,4,北京->广州->澳门->成都
365,3328.00,4,北京->澳门->重庆->成都
366,3329.00,4,北京->澳门->广州->成都
367,3333.00,4,北京->天津->长春->成都
368,3334.00,4,北京->福州->贵阳->成都
369,3335.00,3,北京->香港->成都
370,3335.00,4,北京->济南->澳门->成都
371,3335.00,4,北京->南昌->澳门->成都
372,3335.00,4,北京->香港->广州->成都
373,3336.00,4,北京->合肥->呼和浩特->成都
374,3339.00,4,北京->长沙->澳门->成都
375,3340.00,4,北京->长春->呼和浩特->成都
376,3341.00,4,北京->武汉->香港->成都
377,3342.00,4,北京->杭州->太原->成都
378,3343.00,4,北京->香港->重庆->成都
379,3344.00,4,北京->南昌->香港->成都
380,3345.00,4,北京->呼和浩特->杭州->成都
381,3348.00,4,北京->郑州->澳门->成都
382,3349.00,4,北京->济南->香港->成都
383,3350.00,4,北京->天津->澳门->成都
384,3354.00,4,北京->澳门->贵阳->成都
385,3354.00,4,北京->西安->天津->成都
386,3357.00,4,北京->广州->长沙->成都
387,3363.00,4,北京->石家庄->澳门->成都
388,3363.00,4,北京->广州->南宁->成都
389,3363.00,4,北京->合肥->澳门->成都
390,3365.00,4,北京->天津->香港->成都
391,3368.00,4,北京->重庆->郑州->成都
392,3369.00,4,北京->银川->天津->成都
393,3370.00,4,北京->合肥->香港->成都
394,3372.00,4,北京->长沙->香港->成都
395,3374.00,4,北京->郑州->香港->成都
396,3377.00,4,北京->杭州->兰州->成都
397,3381.00,4,北京->香港->贵阳->成都
398,3384.00,4,北京->上海->兰州->成都
399,3386.00,4,北京->石家庄->香港->成都
400,3387.00,4,北京->广州->香港->成都
401,3387.00,4,北京->南京->呼和浩特->成都
402,3387.00,4,北京->兰州->呼和浩特->成都
403,3393.00,4,北京->沈阳->南昌->成都
404,3393.00,4,北京->武汉->上海->成都
405,3394.00,4,北京->银川->合肥->成都
406,3395.00,4,北京->杭州->石家庄->成都
407,3405.00,4,北京->杭州->广州->成都
408,3406.00,4,北京->呼和浩特->南宁->成都
409,3414.00,4,北京->兰州->石家庄->成都
410,3418.00,4,北京->西宁->太原->成都
411,3419.00,4,北京->沈阳->贵阳->成都
412,3421.00,4,北京->长春->重庆->成都
413,3424.00,4,北京->贵阳->兰州->成都
414,3432.00,4,北京->南昌->太原->成都
415,3432.00,4,北京->太原->福州->成都
416,3437.00,4,北京->长春->银川->成都
417,3440.00,4,北京->西宁->郑州->成都
418,3441.00,4,北京->呼和浩特->上海->成都
419,3442.00,4,北京->南京->香港->成都
420,3442.00,4,北京->南京->澳门->成都
421,3448.00,4,北京->银川->南昌->成都
422,3452.00,4,北京->长沙->西宁->成都
423,3455.00,4,北京->长沙->南京->成都
424,3459.00,4,北京->西安->广州->成都
425,3471.00,4,北京->沈阳->上海->成都
426,3475.00,4,北京->长春->兰州->成都
427,3481.00,4,北京->太原->澳门->成都
428,3483.00,4,北京->沈阳->杭州->成都
429,3487.00,4,北京->福州->广州->成都
430,3492.00,4,北京->福州->合肥->成都
431,3496.00,4,北京->澳门->南宁->成都
432,3505.00,4,北京->南昌->济南->成都
433,3506.00,4,北京->呼和浩特->沈阳->成都
434,3508.00,4,北京->长沙->银川->成都
435,3510.00,4,北京->太原->香港->成都
436,3512.00,4,北京->上海->广州->成都
437,3514.00,4,北京->福州->西安->成都
438,3517.00,4,北京->南昌->银川->成都
439,3518.00,4,北京->南昌->上海->成都
440,3522.00,3,北京->海口->成都
441,3522.00,4,北京->海口->贵阳->成都
442,3525.00,4,北京->长沙->海口->成都
443,3529.00,4,北京->郑州->海口->成都
444,3530.00,4,北京->海口->南宁->成都
445,3531.00,4,北京->杭州->南宁->成都
446,3532.00,4,北京->武汉->海口->成都
447,3533.00,4,北京->武汉->呼和浩特->成都
448,3534.00,4,北京->南昌->西宁->成都
449,3535.00,4,北京->重庆->南昌->成都
450,3536.00,4,北京->长沙->太原->成都
451,3537.00,4,北京->上海->银川->成都
452,3538.00,3,北京->台北->成都
453,3538.00,4,北京->台北->福州->成都
